s1,s2,stance
رئيس الوزراء الإثيوبي: مشروع سد النهضة قد لا يرى النور قريبا,رئيس الوزراء الإثيوبي يعلن ظهور مشروع سد النهضة قريبا,disagree
التحقيق في مقطع فيديو لـقناصة إسرائيليين يحتفلون بإطلاق النار على فلسطيني أعزل,تم تداول فيديو لجنود إسرائيليين أطلقوا النار على شاب أعزل,agree
كنيسة القيامة تغلق أبوابها احتجاجا على إجراءات ضريبية إسرائيلية,كنيسة القيامة تفتح أبوابها للجميع,disagree
مدير أكاديمية الأوسكار يواجه اتهامات بالتحرش,اتهامات بالتحرش تنال من مدير أكاديمية ام اي تي,disagree
تراجع نسبو البطالة في مصر,البطالة لأعلى مستوى في مصر,disagree
هشام عشماوى فى قبضة السلطات المصرية,السلطات المصرية تفشل فى القبض على هشام عشماوى,disagree
الذهب يصعد قبل شهادة باول,ارتفاع على الذهب قبل شهادة باول,agree
كوريا الشمالية تدعم سوريا بمواد قد يتم استخدامها لإنتاج أسلحة كيماوية,كوريا الشمالية ترفض دعم سوريا,disagree
إقالة محافظ البنك المركزي الإيراني وسط صعوبات اقتصادية كبيرة,إستمرار محافظ البنك المركزي الإيراني فى منصبه,disagree
الحكومة المصرية ترفع أسعار الوقود,أسعار الوقود ترتفع في مصر,agree
مصر تعلن حجم استثمارات الأجانب في أدوات الدين,إعلان سعودي عن حجم استثمارات أجنبية في أدوات الدين,disagree
استقالة مستشار الرئيس الأمريكي للأمن الداخلي,استمرار مستشار الرئيس الأمريكي للأمن الداخلي فى منصبه,disagree
تعليق مفاجئ للمشاريع الروسية في إيران,لوك أويل تستمر في مشاريعها الإيرانية,disagree
الليرة التركية تخسر الكثير أمام الدولار,الليرة التركية تواصل الصعود أمام الدولار,disagree
تعرف على عشيرة الغفران التي تشكو سحب قطر الجنسية من أبنائها,ما هى عشيرة الغفران التى تشكو سحب الجنسية من أبنائها فى قطر ؟,agree
الخلاف التجاري يهبط بالنفط,النفط يرتفع رغم مخاوف الخلاف التجاري,disagree
جنوب السودان انفصال له تبعاته,تداعيات الانفصال شرق السودان تستمر,disagree
تسليم ٢٥ مدرسة للقطاع الخاص في المملكة السعودية,استلام ٢٥ مدرسة للقطاع العام بالسعودية,disagree
المركزي التركي يخالف التوقعات.. والليرة تدفع الثمن,البنك المركزي التركي يسبب خسائر في قيمة الليرة,agree
السيولة النقدية الأجنبية تتراجع في مركزي قطر,وفرة في السيولة النقدية الأجنبية في قطر,disagree
ندّدت غزة بجريمة قتل الشابة رزان النجار على يد إسرائيل,ساد الصمت شوارع غزة بعد مقتل المسعفة رزان النجار,disagree
واشنطن تلاحق مصارف عراقية جديدة,العراق تلاحق مصارف أميركية,disagree
205 مذكرات توقيف لعناصر في شبكة تهريب في ليبيا,توقيف عناصر فى شبكة تهريب فى ليبيا بعد ورود 205 مذكرة بحقهم,agree
اليمن: معارك الحديدة تسفر عن مقتل العشرات خلال أيام,اليمن: معارك قوية فى الحديدة دون وقوع ضحايا,disagree
هل تجاهل أردوغان حقا أزمة بلاده الاقتصادية؟,أردوغان يعترف بالأزمة الاقتصادية لبلده,disagree
تغييرات واسعة فى قيادات كبرى بالجيش فى السعودية,لا تغييرات فى قيادات الجيش فى السعودية,disagree
إطلاق سراح معتقل سعودي من سجن غوانتانامو الأمريكي,الولايات المتحدة تطلق سراح معتقل سعودي من أبو غريب,disagree
قطر تقاضي الإمارات أمام محكمة العدل الدولية بشأن انتهاكات لحقوق الإنسان,قطر تشيد بالإمارات فى مجال حقوق الإنسان,disagree
مسيرات غزة: مقتل المسعفة الفلسطينية الشابة رزان النجار جريمة اغتيال إسرائيلية مكتملة الأركان,ندّدت غزة بجريمة قتل الشابة رزان النجار على يد إسرائيل,agree
إغلاق موقع إلكتروني والقبض على رئيس تحريره في مصر لأسباب إدارية,اخلاء سبيل رئيس تحرير موقع إلكتروني وعودة العمل بالموقع,disagree
مصر.. رسوم جمركية جديدة للتشجيع والاستغناء,وقف جمارك مصرية على سلع ليس لها بدائل محلية,disagree
4 دول عربية بين الـ6 الأغنى في أفريقيا,قائمة الأغنى إفريقيا تخلو من الدول العربية,disagree
تقوم الحكومة السورية بمحاصرة الغوطة الشرقية,أعلنت الحكومة السورية عن توقف الهجوم على الغوطة الشرقية,disagree
الرئيس الإيراني حسن روحاني يقيل محافظ البنك المركزي وسط صعوبات اقتصادية جمة,إقالة محافظ البنك المركزي الإيراني وسط صعوبات اقتصادية كبيرة,agree
الخارجية الإيرانية تهدد بإجراءات مضادة إذا أوقفت الولايات المتحدة صادرات إيران النفطية,الخارجية الإيرانية لا تدعم الرد ضد الولايات المتحدة فى حالة منع صادرات إيران النفطية,disagree
المغني الأمريكي آر كيلي يقيم حفلا وسط احتجاجات ضد سلوكه الجنسي,رغم الاحتجاج على سلوكة الجنسي، المغني الأمريكي آر كيلي يقيم حفلاً غنائياً,agree
انطلاق أولى رحلات قطار الحرمين السريع في السعودية,وقف قطار الحرمين في السعودية,disagree
المركزي المصري يعلن مبادرة لإسقاط ديون المتعثرين,مبادرة للبنك المركزي المصري لإسقاط ديون المتعثرين,agree
انخفاض لسعر النفط قبل عقد اجتماع أوبك,انخفاض لسعر الدولار قبل عقد اجتماع أوبك,disagree
السيستاني يدعو إلى تشكيل حكومة عراقية جديدة في أقرب وقت,السيستاني يرفض تشكيل حكومة عراقية جديدة,disagree
حذرت تركيا فرنسا من السير على نهج الولايات المتحدة فى سوريا,تركيا تدعو فرنسا للسير على خطى الولايات المتحدة فى سوريا,disagree
وزير النفط العراقي: تلقينا أكثر من 90 عرضا لخط أنابيب كركوك,أكثر من ٩٠ عرضا للنفط شمال العراق,agree
تركيا.. التضخم في أعلى مستوى منذ 15 عاما,تسجيل ادنى مستوى للتضخم في تركيا منذ ١٥ عاما,disagree
اتفاق لتنظيم العمالة بين الكويت والفلبين,تنظيم العمالة الفلبينية في الكويت,agree
أعلى مرجع شيعي يحض العراقيين على عدم انتخاب الفاشلين والفاسدين في الانتخابات النيابية,مرجع شيعى يجيز انتخاب الفاشلين !,disagree
كندا تنتقم من ترامب,انتقام ترامب من دولة مجاورة,disagree
جائزة الدب الذهبي في مهرجان برلين السينمائي تذهب للفيلم الروماني  لا تلمسني ,جائزة الدب الذهبي في مهرجان برلين السينمائي تذهب للفيلم البلجيكي لا تلمسني ,disagree
روسيا استغلت هوس المونديال لتمرير قرار يمس الملايين,الحوثيون ينهبون الملايين.. بذريعة نقود الشرعية,other
الدولار يحلّق واليورو يهبط بسبب الليرة التركية,زيادة في سعر الدولار و انخفاض لسعر اليورو بسبب الليرة التركية,agree
بكين: سنقاتل حتى النهاية في أي حرب تجارية تطلقها واشنطن,روسيا مستعدة لأي حرب تجارية ضد واشنطن,disagree
مشروبات كحولية فاسدة تقتل العشرات في إيران,مشروبات كحولية فاسدة تقتل المئات في إيران,disagree
المغرب.. توقعات بانخفاض عجز موازنة 2019,تضاؤل عجز الموازنة المغربية في ٢٠١٩,agree
الطاهي والنجم التلفزيوني الشهير أنتوني بوردين وُجد ميتاً و تدور الشكوك حول انتحاره,الطاهي والنجم التلفزيوني الشهير أنتوني بوردين وُجد مقتولا,disagree
رغم القرض العملاق.. العملة الأرجنتينية تواصل الانزلاق,العملة الأرجنتينية ترتفع بفعل قرض عملاق,disagree
مصر تجري تقييما مرحليا للمشاريع السياحية قيد التنفيذ,مصر تستثني مشاريع سياحية من التقييم,disagree
صندوق النهضة في ضيافة القاهرة,دمشق تستضيف صندوق النهضة,disagree
مسؤولون أمريكيون يطالبون بعقوبات جديدة على إيران بسبب برنامجها للصواريخ,البحث في عقوبات جديدة بسبب برنامج الصواريخ الإيراني,agree
أعلنت روسيا أنه لا يوجد اتفاق فى مجلس الأمن بخصوص الهدنة فى سوريا,روسيا تعلن اتفاق فى مجلس الأمن بالهدنة فى سوريا,disagree
اتفاق جديد يدعم مصر بـ3 مليارات دولار,٣ مليار دولار لمصر وفق اتفاق جديد,agree
ارتفاع قياسي في إيرادات قناة السويس السنوية,إيرادات قناة السويس السنوية ترتفع ارتفاعاً قياسياً,agree
مصر.. تراجع ملحوظ في عجز ميزان المعاملات,استمرار العجز في ميزان المعانلات المصري,disagree
قفزة 100%  للبتكوين,بتكوين تهوي 100% بعد صعودها لأعلى مستوى,disagree
مع تنامي حالة السخط.. إضراب في أسواق إيران الرئيسية,أسواق إيران توقف إضرابها,disagree
هيو غرانت يتوصل إلى تسوية مع صحف ميرور بعد التنصت على هاتفه,التوصل لإتفاق مرضي مع  هيو غرانت بعد تجسس صحيفة ميرور على هاتفه,agree
هل تستخدم روسيا الفيتو دائما لمنع قرارات مجلس الأمن ضد سوريا؟,هل تستخدم أمريكا حق الفيتو لمنع قرارات مجلس الأمن ضد سوريا؟,disagree
مازالت قضية جمال خاشقجي تطرح الأسئلة,تم الإعلان عن العثور على جمال خاشقجي,disagree
أردوغان مدافعا عن حالة الطوارئ: تمنع حاليا إضرابات العمال,أردوغان يطمح لمنع إضرابات العمال,agree
الذهب والدولار تناسب طردي,انخفاض الدولار يرفع الذهب,disagree
السلطات العراقية تعتقل عددا من المشتبه بهم في إحراق صناديق الانتخابات في بغداد,قام عدد من المواطنين في العراق بحرق صناديق الإنتخابات,agree
اتفاق لزيادة إنتاج النفط بدءا من يوليو,زيادة النفط عالميا بدءا من يوليو,agree
بعد فيسبوك.. غوغل توجه ضربة قوية لعملة بتكوين,عملة البتكوين تتلقى ضربتين من عمالقة الإنترنت,agree
أستردت القوات السورية اراضى فى درعا من مسلحى المعارضة,فشلت القوات السورية فى الحصول على أراضى فى درعا من مسلحى المعارضة,disagree
ارتفاع كبير في العجز التجاري التركي بفبراير,فبراير:ارتفاع بالعجز التجاري التركي,agree
مصر: القبض على الناشط السياسي هيثم محمدين,قامت الشرطة المصرية بالقبض على الناشط هيثم محمدين,agree
استمرار خسائر الذهب والدولار مدعوم بقوة,مكاسب للذهب والدولار يواصل الانخفاض,disagree
تركيا: تراجع الليرة فرصة ذهبية للسواح,تركيا تعلن استقرار الليرة,disagree
الحياة في غزة: القرابة مع حماس والحصار يتحالفان ضد مرضى السرطان بالقطاع,مرضى السرطان بقطاع غزة يتحدون القرابة مع حماس و الحصار,agree
روسيا.. تفضيل الروبل بدلا من الدولار في التجارة الثنائية,روسيا تُفضل اليورو أكثر من الدولار في التجارة الثنائية,disagree
وزارة الأثار المصرية تعلن اكتشاف قرية تعود إلى العصر الحجري الحديث,اكتشاف تعلنه وزارة الآثار المصرية عن وجود قرية تعود إلى العصر الحجري الحديث,agree
محكمة العدل الأوروبية تستثني الصحراء الغربية من اتفاق الصيد مع المغرب,الصحراء الغربية بالمغرب تستبعد من اتفاق الصيد حسب قرار محكمة العدل الأوروبية,agree
كيف أصبحت قصة خادمة رمزا لاحتجاجات النساء حول العالم؟,قصة خادمة تصبح رمزاً لاحتجاجات النساء حول العالم,agree
مصر.. تراجع ملحوظ في عجز ميزان المعاملات,عجز ميزان المعاملات المصري يتراجع,agree
صرحت إيران بأن هدفها الأساسي هو مواجهة الإرهاب,صرحت إيران بأن هدفها الأساسي هو مواجهة إسرائيل,disagree
أعلى مستوى للدولار في عام,أعلى مستوى لليورو في عام,disagree
مقتل 257 في تحطم طائرة نقل عسكرية بالجزائر,إرتفاع عدد ضحايا حادث الطائرة الجزائرية,agree
تركيا تنفي تسليم أي تسجيلات للولايات المتحدة فى قضية اختفاء الصحفى جمال خاشقجي,تركيا تسلم تسجيلات هامة للولايات المتحدة فى قضية خاشقجي,disagree
الدولار يسجل أعلى مستوى مع التوقعات برفع أسعار الفائدة,توقعات خفض أسعار الفائدة يهبط بالدولار,disagree
أردوغان يعلن إيقاف الشيء المدعو أوبر,إيقاف أمازون بقرار من أردوغان,disagree
الولايات المتحدة تحمل إيران مسؤولية أي هجوم على مصالحها بالعراق وتتوعد برد حاسم,الولايات المتحدة: نحمل إيران مسؤولية أي هجوم على مصالحنا بالعراق,agree
إيران تعلن القبض على 22 شخصا يشتبه بتورطهم فى هجوم الأهواز,إيران تفشل فى القبض على المتورطين في هجوم الأهواز,disagree
تحذير صيني بمواجهة تهديدات ترامب,روسيا تحذر بأنها ستواجه تهديدات ترامب,disagree
التأمين على ديون تركيا ترتفع لأعلى مستوى منذ 2009,التامين على ديون تركيا تنخفض لأدنى مستوى,disagree
أولغا توكارتشوك أول بولندية تفوز بجائزة مان بوكر الدولية المرموقة للرواية,أولغا توكارتشوك تفوز بجائزة مان بوكر الدولية للرواية لتصبح ثاني بولندية تحصد هذه الجائزة,disagree
وديعة بنكية شرط الحصول على الجنسية المصرية,الحكومة المصرية تشترط وديعة بنكية للحصول على الجنسبة المصرية,agree
محكمة إسرائيلية تعلق العمل بخطة الحكومة لترحيل المهاجرين الأفارقة,استمرار ترحيل المهاجرين الأفارقة بقرار من محكمة إسرائيلية,disagree
الدفاعات السعودية تعترض صاروخا باليستيا فوق الرياض,اعترضت قوات الدفاعات السعودية صاروخا باليستيا فوق الرياض,agree
التحالف بقيادة السعودية يقر بـأخطاء في غارة جوية قتلت أطفالا في اليمن,السعودية تنفي أي أخبار عن قتلى أطفال باليمن,disagree
إجراءات من البنك المركزي التركي لإنقاذ الليرة,خطوات لإنقاذ الليرة التركية,agree
سعوديا:٢٠١٩ يبدأ بموازنة ضخمة,موازنة ضخمة للإمارات في ٢٠١٩,disagree
نجمات انستغرام في الإمارات سيبدأن بدفع الضريبة,زوجتي لا تستطيع مناداتي باسمي في الأماكن العامة,other
أسعار المحروقات ترتفع في السودان,انخفاض كبير في أسعار المحروقات بالسودان,disagree
بي بي سي تعتذر للمذيعة كاري غراسي بشأن راتبها,اعتذار من بي بي سي للمذيعة كاري غراسي بشأن الراتب,agree
يهدد ترامب إيران بسبب موقفها بشأن التفاوض النووي,هدد ترامب روسيا بسبب موقفها بشأن الإتفاق النووي,disagree
قافلة مساعدات إنسانية تضم 25 حافلة تدخل الغوطة الشرقية,قافلة مساعدات إنسانية تتجه للغوطة الشرقية ضمت 25 حافلة,agree
ترامب يتفاوض مع بضع دول بشأن الرسوم الجمركية,مباحثات ترامب حول الرسوم الجمركية تفشل,disagree
الإمدادات تنحسر والنفط ينهي أسبوعه على خسائر,الإمدادات تستمر بقوة وإغلاق الأسبوع على مكاسب نفطية,disagree
إنجاز في مجال الطاقة النووية إماراتيا,تراجع  الإمارات في مجال الطاقة النووية,disagree
النفط يتراجع في التعاملات المبكرة,صعود في النفط في المعاملات المبكرة,disagree
السعودية تمهل السفير الكندي 24 ساعة لمغادرة أراضيها,السفير الكندي يباشر عمله فى السعودية,disagree
اقتصاد قطر في دائرة المجهول,تواصل ارتفاع اقتصاد قطر رغم المقاطعة,disagree
شركات أوروبية تحت العقوبات الأميركية والسبب إيران,أوروبا قد تعاقب شركات أميركية تتعامل مع إيران,disagree
الأسواق الإيرانية تضرب وسط استمرار السخط الشعبي,أسواق إيران توقف إضرابها,disagree
أعلن دبلوماسي سابق أن الكل كان يعلم أن العراق لا يمتلك أسلحة كيماوية,أكد دبلوماسى سابق امتلاك العراق أسلحة كيماوية,disagree
حكم بالسجن المؤبد لستة صحفيين فى تركيا لعلاقتهم بالانقلاب,اطلاق سراح 6 صحفيين فى تركيا,disagree
الإيزيديون يحتفلون بالأربعاء الأحمر على طريقتهم,ما هو الثلاثاء الأحمر الذي يحتفل به الإيزيديون؟,disagree
مصر: هشام جنينة رئيس الجهاز المركزي للمحاسبات السابق يواحه المحاكمة العسكرية,براءة هشام جنينة من التهم المنسوبة له,disagree
جائزة سوني العالمية للتصوير 2018 من نصيب فنانة بريطانية,فنانة بريطانية تفوز بجائزة آبل العالمية للتصوير 2020,disagree
مصر.. قفزة جديدة بإنتاج الغاز في أكتوبر,إنتاج مصر من الغاز يحقق قفزة في أكتوبر,agree
علقت السعودية صادراتها من النفط عبر باب المندب,السعودية تواصل صادراتها من النفط عبر باب المندب,disagree
غاز مصري إلى غزة,غزة تصدر الغاز لمصر,disagree
الليرة التركية تهوي إلى مستويات جديدة,ارتفاع لليرة التركية لمستويات جديدة,disagree
رئيس المفوضية الأوروبية يلتقي ترامب وسط تحذيرات ألمانية,الرئيس الأميركي يوجه تهديدات لألمانيا قبل لقائه يونكر,disagree
اختفاء خاشقجي: بومبيو يبحث القضية مع العاهل السعودي,بومبيو يرفض المباحثات بشأن اختفاء خاشقجي,disagree
جمال خاشقجي: أمس ما يحتاجه العالم العربي هو حرية التعبير,جمال خاشقجي: العالم الغربي في حاجة ماسة لحرية التعبير,disagree
القوات السورية تسترد أراضي من مسلحي المعارضة في درعا,أستردت القوات السورية اراضى فى درعا من مسلحى المعارضة,agree
دراجة هارلي-ديفيدسون تصدم ترامب,اصطدام دراجة هارلي ديفدسون بترامب,agree
قامت أمريكا بالاتفاق مع تركيا من أجل حل نزاع منبج,أيدت تركيا وأمريكا النزاعات في منبج,disagree
ترامب يزيد عقاب تركيا بمضاعفة رسوم الصلب والألومنيوم,جمارك تركية جديدة على الصلب الأميركي,disagree
بريطانيا تطلب اجتماعا طارئا لمجلس الأمن لمناقشة الهجوم على ميناء الحديدة اليمني,تجاهل مجلس الأمن الهجوم على ميناء الحديدة اليمني,disagree
لمحة عن منظومة الدفاع الجوي أس-300 التي تدربتاسرائيل على التعامل معها,لمحة عن وائل عباس الذي أعلن خبر اعتقاله عبر فيسبوك,other
السلطات الماليزية تجري تشريحا على جثمان البطش,دفن جثمان البطش دون تشريحه,disagree
النفط يقفز لأعلى مستوياته في 6 أسابيع,تدني في أسعار النفط لأدنى مستوى في ٦ أسابيع,disagree
الذهب عند أعلى مستوى بفعل الأزمة مع روسيا,الأزمة مع تركيا تتسبب في ارتفاع الذهب لأعلى مستوى,disagree
تحذير من الأمم المتحدة بشأن سقوط مقاتلة سورية بواسطة الجيش الإسرائيلي,تحذير من الأمم المتحدة بشأن سقوط مقاتلة سورية بواسطة الجيش الروسي,disagree
برنت يتجاوز 75 دولار,تجاوز حاجز الــ60 دولار لخام البرنت,disagree
الأمم المتحدة تحذر من كارثة بسبب الغارات الجوية على درعا بسوريا,مقتل الكثير من المدنيين في غارة أمريكية ضد تنظيم الدولة في سوريا,other
ارتفاع كبير في العجز التجاري التركي بفبراير,انخفاض كبير بالعجز التجاري التركي,disagree
الإمارات تعتمد الميزانية الاتحادية للسنوات الثلاث المقبلة,الإمارات تفشل في  اعتماد الميزانية للسنوات اللاحقة,disagree
تركيا تحذر سوريا من مساعدة الأكراد في عفرين,هددت تركيا سوريا بسبب مساعدة الأكراد,agree
السودان.. ارتفاع التضخم وسط زيادات بالأسعار وشح في العملة,شح العملة السودانية وسط ارتفاع الأسعار والتضخم,agree
مستشار أردوغان: جمال خاشقجي قتل في القنصلية السعودية,مستشار أردوغان ينفي مقتل جمال خاشقجي في القنصلية السعودية,disagree
واشنطن تفرض عقوبات على الأمين العام لحزب الله حسن نصر الله ومساعدين له,حل أزمة واشنطن و حسن نصر الله,disagree
رئيس الوزراء الإثيوبي يطمئن مصر بشأن سد النهضة,أثيوبيا تطمئن مصر حول حصتها المائية,agree
تركيا: أمهات السبت لم يفقدن الأمل لمعرفة مصير أبنائهن المجهول منذ 23 عاماً,أمهات السبت فقدن أمل معرفة مصيرابنائهن,disagree
تظهور اقتصاد لبنان يدخل الدولة في أزمة,نمو في اقتصاد لبنان,disagree
تجاوز حاجز الـ 75 دولار لخام البرننت,تجاوز حاجز الــ60 دولار لخام البرنت,disagree
السعودية تشيد دارا للأوبرا ضمن استثمارات ترفيهية تكلفتها 64 مليار دولار,السعودية ترفض تشييد دار للأوبرا,disagree
كيف تظهر الراحلة كاري فيشر في الفيلم المقبل من حرب النجوم؟,الراحلة كاري فيشر تظهر في فيلم باربي القادم,disagree
العبادي يوقف وزير الكهرباء عن العمل بعد احتجاجات على الخدمات السيئة,استمرار وزير الكهرباء فى منصبه رغم الاحتجاجات,disagree
نصف لوحات متحف فرنسي مزورة,ألف ليلة وليلة حكايات ترويها لوحات نادرة لأسرة محمد علي,other
سكارليت جوهانسون الممثلة الأعلى أجرا في العالم,الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في أفريقيا,disagree
20 قتيلا في غارات على الحديدة اليمنية,المغرب: 7 قتلى على الأقل في حادث انقلاب قطار بمنطقة بوقنادل,other
إعفاء لأوروبا و 6 دول أخرى من الرسوم الضريبية من قبل واشنطن,واشنطن تعفي أفريقيا و6 دول من رسوم ضريبية,disagree
تركيا: السجن المؤبد لستة صحفيين لعلاقتهم بالانقلاب,حكم بالسجن المؤبد لستة صحفيين فى تركيا لعلاقتهم بالانقلاب,agree
إعدام 12 مدانا بالإرهاب فى العراق تنفيذا لأوامر العبادي,العبادي يأمر بالعفو عن 12 مدانا بالإرهاب,disagree
زلزال الليرة يصل قبرص التركية.. واقتصاد أنقرة بمهب الريح,تركيا تنتعش رغم تراجع الليرة,disagree
النفط يتخطى حاجز الـ80 دولارا,أكثر من ٨٠ دولار للنفط,agree
اختلسوا مليار دولار.. مصر تحيل المتهمين للنيابة,محاكمة متهمين مصريين باختلاف مليار دولار,agree
ترامب: سيكون هناك ثمن باهظ للهجوم الكيماوي على المدنيين في سوريا,أعلن الرئيس ترامب بأنه ثمن الهجوم الكيماوي على المدنيين فى سوريا سيكون باهظا,agree
الأردن يعلن إحباط مخطط إرهابي,تفجير إرهابي داخل الأردن,disagree
الليرة التركية تعاود الهبوط بعد التهديد الجديد,هبوط جديد للعملة التركية,agree
طبيبة بريطانية: ظروف العمل في ملعب خليفة الدولي القطري غير آمنة,تم الإعلان أن ملعب خليفة الدولي آمن تمام للعب فيه,disagree
مذيعون في بي بي سي يقبلون خفض أجورهم لتحقيق المساواة مع المذيعات,المذيعون يتساوون مع المذيعات و يرفعون أجورهم من أجل المساواة,disagree
أميركا قد تعاقب الشركات الأوروبية التي تتعامل مع إيران,شركات أوروبية تحت العقوبات الأميركية والسبب إيران,agree
الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في العالم,الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في أفريقيا,disagree
بتكوين مطالبة بـ 10 مليار دولار,بتكوين تكسب مليارات الدولارات,disagree
أردوغان يتكلم والليرة تغرق.. انهيار جديد بعد استجداء الأتراك,اردوغان يصمت والليرة تواصل الصعود,disagree
محكمة سودانية تبطل زواج طفلة عمرها 11 عاما,إبطال زواج طفلة عمرها 11 عاما فى السودان,agree
غارة عنيفة شنتها طائرات روسية و سورية على إدلب,هدوء فى إدلب السورية,disagree
ملك الأردن يجمد قرار الحكومة برفع أسعار المحروقات,تجميد قرار رفع المحروقات بالأردن,agree
إيران.. اقتصاد يترنح على وقع العقوبات الأميركية,اقتصاد إيران يهتز بسبب العقوبات الأمريكية,agree
إسرائيل تدين الشاعرة الفلسطينية دارين طاطور بـ التحريض على العنف بسبب قصيدة,تكريم الشاعرة الفلسطينية دارين طاطور,disagree
هوليوود تستقبل ولي العهد محمد بن سلمان بحفاوة كبيرة,مدينة الانتاج الإعلامي تفتح ذراعيها لـ محمد بن سلمان,disagree
النفط يرتفع بعد انخفاض مفاجئ في الخام الأميركي,الخام الاميركي يسبب انخفاضا في اسعار النفط,disagree
شيران أبراهام فنانة إسرائيلية ذات أصول يمنية تغني بالعربية,شيران أبراهام فنانة أمريكية ذات أصول مصرية تغني بالعربية,disagree
التحالف بقيادة السعودية يتقدم نحو الحديدة في اليمن,تقدم جديد من التحالف نحو الحديدة فى اليمن,agree
التحالف بقيادة السعودية يقر بـأخطاء في غارة جوية قتلت أطفالا في اليمن,التحالف السعودي الإماراتي شن غارة جوية أدت لمقتل أطفال يمنيين,agree
تونس.. إيرادات السياحة تقفز إلى النصف في 2018,بيل غيتس: العملات الرقمية تؤدي إلى الموت أحيانا,other
قوة الدولار تؤذي الذهب,ضعف الدولار يصعد الذهب,disagree
النمر الأسود يتفوق على مهاجمة القبور في عائدات شباك التذاكر بالولايات المتحدة,تفوق لـلنمر الأسود على مهاجمة القبور في شباك التذاكر بالولايات المتحدة ,agree
نجوم هوليوود ينتقدون جائزة أوسكار الجديدة لـأفضل فيلم جماهيري,نجوم بوليوود ينتقدون جائزة أوسكار الجديدة لـأفضل فيلم جماهيري,disagree
بكين مستعدة لأي حرب تجارية ضد واشنطن,روسيا مستعدة لأي حرب تجارية ضد واشنطن,disagree
الخام الأميركي يهبط في ظل ارتفاع  علاوة برنت لأعلى مستوى,ارتفاع بالخام الأميركي وانخفاض لعلاوة برنت,disagree
النفط يسجل أعلى مستوى بفضل تعافي أسواق الأسهم,النفط لأعلى والسبب تعافي أسواق الأسهم,agree
النفط بانتظار عاصفة مجهولة التوابع,الذهب يتجاوز عاصفة,disagree
تنديد فلسطيني بالإفراج عن جندي إسرائيلي قتل جريحا,تنديد فلسطيني واسع بعد الإفراج عن جندي إسرائيلي قتل جريحا,agree
اللبنانيون المغتربون يشاركون فى الانتخابات لأول مرة,المغتربون لا يستطيعون المشاركة فى الانتخابات اللبنانية,disagree
الجيش السوري يدعو المدنيين في الغوطة الشرقية إلى الرحيل,الجيش السوري يسمح للمدنيين في الغوطة الشرقية بالبقاء,disagree
العراق يستدعي سفير الجزائر في بغداد بعد هتافات مسيئة في مباراة كرة قدم,استدعت العراق السفير الجزائري فى بغداد بعد هتافات مسيئة في مباراة كرة قدم,agree
سقوط قتلى نتيجة انفجار مطبخ ميداني تابع للقوات اليمنية في عدن,انفجار مطبخ ميداني تابع للقوات اليمنية في عدن دون سقوط ضحايا,disagree
إنفوغرافيك.. ما هو طريق الحرير الجديد؟,طريق الحرير في انفوغرافيك,agree
تقارير عن هجوم إنتحاري على مفوضية الإنتخابات في ليبيا مما أدى إلى مصرع 12 شخص,أنباء عن سقوط أشخاص في سوريا إثر هجوم إنتحاري,disagree
أمنستي تتهم الجيش المصري بـ استخدام قنابل عنقودية في سيناء,الجيش المصرى متهم باستخدام القنابل العنقودية فى سيناء,agree
الإصلاح الاقتصادي شعار بوتين لجولته الرئاسية الرابعة,بوتين يتجه للإصلاح الاجتماعي في ولايته الرابعة,disagree
الأسهم والروبل الروسيان يهويان بسبب العقوبات الأميركية,العقوبات الروسية تهوي بالأسهم والدولار الأميركي,disagree
أردوغان: مقاتلون أكراد يغادرون مدينة منبج السورية,عناصر قتالية كردية تغادر مدينة منبج السورية,agree
النفط يهبط وسط مخاوف من تصاعد الخلاف التجاري,الخلاف التجاري يهبط بالنفط,agree
الكويت تستنكر تصعيد مانيلا لأزمة العمالة الفلبينية,الكويت تدعم تصعيد مانيلا لأزمة العمالة الفلبينية,disagree
الاتفاق النووي مع إيران لم يمت رغم انسحاب واشنطن,انسحاب إيران من الاتفاق النووى بعد انسحاب واشنطن,disagree
أردوغان: القوات التركية قد تدخل عفرين السورية في أي لحظة,أكد أردوغان بعدهم التام عن التدخل في شأن عفرين السورية,disagree
حماس تتهم ضباطا في السلطة بمحاولة اغتيال رئيس الحكومة الحمد الله في غزة,براءة ضباطا في السلطة من تهمة محاولة اغتيال الحمد الله في غزة,disagree
دبلوماسي سابق: الكل كان يعلم أن العراق لا يمتلك أسلحة كيماوية,أكد دبلوماسى سابق امتلاك العراق أسلحة كيماوية,disagree
مسلسل أمريكي يحقق ملايين الدولارات على يوتيوب,ملايين الدولارات أرباح أحد المسلسلات الأمريكية على يوتيوب,agree
هيومن رايتس ووتش: الاحتجاز التعسفي يطال الآلاف في السعودية,هيومن رايتس ووتش تعلن أن الاحتجاز التعسفي يهدد الآلاف داخل السعودية,agree
اليورو يواصل الانحدار.. أقل مستوى في 6 أشهر,اليورو في أعلى مستوياته في ستة أشهر,disagree
الذهب يتخلى عن مكاسبه مع تماسك الدولار,الذهب يتراجع أمام تماسك الدولار,agree
ترامب يتفاوض مع بضع دول بشأن الرسوم الجمركية,ترامب يقود مباحثات دولية حول الرسوم الجمركية الأميركية,agree
