claim_s,fake_flag
وزير الخارجية اليمني: نخطط لتدمير البنية التحتية,1
المخابرات التركية تفشل فى اقتناص مهاجم ريحانلى,1
زوجتي لا تستطيع مناداتي باسمي في الأماكن العامة,0
مارغو روبي تخطط لتناول مسرحيات شكسبير من منظور أنثوي,0
سد النهضة.. إثيوبيا تكمل الناقص من ألمانيا,0
التصدي لصاروخ فوق الرياض من قبل الدفاع الجوي السعودي,0
إخلاء سبيل الشاعرة الفلسطينية دارين طاطور من السجون الإسرائيلية,1
ليبيا تعلن تأجيل إجراء انتخابات رئاسية وبرلمانية,1
إدارة مهرجان كان تضع خطاً ساخناً للنساء للإبلاغ عن التحرش,0
جواد ظريف يتحدث عن وجوب تطهير دمشق من المتظاهرين,1
النفط يقفز لأعلى مستوياته في 6 أسابيع,0
إطلاق تطبيق على الهاتف المحمول لتقييم الخطب الدينية فى السعودية,0
هيومن رايتس ووتش توثق 78 حالة اختفاء قسري بالعراق,0
النقد يرفض صرف شريحة جديدة لتونس,1
روسيا.. تفضيل الروبل بدلا من الدولار في التجارة الثنائية,0
رسوم جمركية مصرية على سلع لتشجيع المحلي,0
تراجع الجنيه السوداني بعد خفض قيمته,0
تصريحات الولايات المتحدة بشأن سوق النفط الذي يتلقى إمدادت قليلة,1
الحرب في سوريا: كيف يمكن أن تغير إدلب استراتيجية ترامب؟,0
آبل قد تغادر الصين قريبا,0
قصف على مخزن أسلحة كيماوية في سوريا,0
قافلة مساعدات إنسانية تضم 25 حافلة تدخل الغوطة الشرقية,0
المصريون المغتربون يسببون قفزة بالتحويلات لبلدهم,0
الإصلاح الاقتصادي شعار بوتين لجولته الرئاسية الرابعة,0
إقبال كثيف على التصويت في اليوم الأول لانتخابات الرئاسية المصرية,0
رئيس تركيا يلمح بضرب شمال العراق ما لم يتم تطهير بغداد من المسلحين الأكراد,0
الأعلى في ٦ أسابيع: قفزة في أسعار النفط,0
اتهامات للقوات الحكومية السورية بـ استخدام غاز الكلور في الغوطة الشرقية,0
فيلم الأكشن  موت ستالين  يُمنع من العرض في روسيا ,1
إنجاز في مجال الطاقة النووية إماراتيا,0
الدين العام يخفض تصنيف إيطاليا,0
أدنوك تستحوذ على 5% في اتفاقية مع بيكر هيوز جي إي,1
غارات على الحديدة فى اليمن دون سقوط ضحايا,1
قبل تصريح باول:انخفاض على  سعر الذهب,1
تعرف على الجماعات المعارضة فى شمالى سوريا,0
اليمن تودع ملياري دولار بالسعودية,1
انفجار في وسط بغداد ولا وجود لمصابين,1
بعد اتهامه بالسرقة : راوئي أمريكي شهير ينسحب من مهرجان أدبي,1
كاتب يدعم كثرة عدد المساجد ويطلب رفع صوت الأذان,1
رفع إنتاج غاز الحقل الإيراني القطري المشترك لضعفين,0
هل النساء اكثر سعادة من الرجال,0
ترخيص قيادة السيارات للنساء فى السعودية لأول مرة,0
تم تهجير عدد كبير من السوريين المقيمين بالسعودية,1
الحرب في سوريا: القوات الحكومية تشن هجوما من خمسة محاور على الغوطة الشرقية,0
عوامل فنية تهبط بالذهب,1
ساد الصمت شوارع غزة بعد مقتل المسعفة رزان النجار,1
ألمانيا تساهم في تعويض النقص بسد النهضة الأثيوبي,0
جنرال إلكتريك تخسر الكثير,0
طالبت تركيا أمريكا بألا تسمح للأكراد بإرسال الدعم إلى عفرين,0
تقارير عن اعتقال رجل الدين المحافظ ناصر العمر في السعودية,0
تطوير تاريخي لسكك مصر بعد التوقف لمائة وخمسين عاما,0
بريد وينر يُصرح عن فيلم جديد من بطولة أنجلينا جولي يُجسد كفاح فتيات افغانستان في ظل حكم بن لادن,1
صرحت إيران بأن هدفها الأساسي هو مواجهة الإرهاب,0
الحياة في غزة: القرابة مع حماس والحصار يتحالفان ضد مرضى السرطان بالقطاع,0
النقد الدولي: تراجع النمو الاقتصادي,1
أحد الرسومات الفنية لبيكاسو يباع بقيمة 8.2 ملايين دولار,1
أكد وزير الخارجية الأردنى أن الحكومة ستحترم مطالب الشعب,0
الفقر يحبط نمو اقتصادي شهده حكم ترامب,0
زلزال العقوبات الأميركية يهوي بالأسهم والعملة الروسية,0
عائلة مستوطن تفشل فى الحصول على تعويض بعد طعنه من فلسطينى,1
أسرار ومفارقات تحكي قصة كتاب وصف مصر,0
هل رحلة شامبليون إلى مصر سبب لتعجيل وفاته,0
النفط يرتفع.. وإشارة مطمئنة إلى المستثمرين,0
بدء التفتيش في دوما السورية من قبل منظمة حظر الأسلحة الكيمياوية,0
كوريا الشمالية ترفض دعم سوريا,1
إنفوغرافيك.. الليرة التركية تغوص نحو المجهول,0
النفط يهبط من أعلى مستوياته,0
استمرار الاحتجاجات الواسعة فى العراق دون سقوط قتلى,1
كارثة في بلاد الرافدين.. أزمة المياه تضرب خبز العراقيين,0
تم الإعلان أن ملعب خليفة الدولي آمن تمام للعب فيه,1
كمبوديا تُرحِّل 7 سائحين غربيين اتهموا بشرب الخمر,1
هبوط جديد للعملة التركية,0
موهبة الرسم تمكن مغربية من اكتشاف أصولها الأمازيغية,0
إعصار في مدغشقر يهدد صناعة الأيس كريم في العالم,0
إيقاف أنشطة شركة بيجو الفرنسية في إيران,0
الترتيب العالمي للجامعات يضم جامعة الملك فهد لأول مرة,1
هوليوود تفتح ذراعيها لـأمير الأحلام محمد بن سلمان,0
الصين تبحث عن حلفاء في حربها التجارية مع أميركا,0
لسه عم يسجل يفوز بجائزتين في مهرجان البندقية السينمائي,0
دي ميستورا مستعد للذهاب بنفسي إلى إدلب لضمان الخروج الآمن للمدنيين,0
انتاج الآيس كريم قد يتراجع بسبب إعصار  ميناوو في مدغشقر ,0
شركة جديدة تصل إلى تريليون دولار,0
الإمارات والسعودية من أفضل الدول للعيش حسب استطلاع للرأي,0
استمرار شبكات التهريب فى ليبيا دون ردع,1
مبتكر شخصية الرجل العنكبوت يتوفى عن عمر يناهز 25عام,1
تقارير عن مذكرة بإعتقال إبنة الملك سلمان في فرنسا منذ 3 أشهر,0
وزير المالية المصري: زيادة مرتقبة في الأجور والمعاشات,0
صعود قياسي الإيرادات السياحة في تونس في ٢٠١٨,0
سمسار فرنسي يحصل على 6.6 مليار دولار في اليوم الواحد,0
سوريا تدفع لاستقرار النفط قرب أعلى مستوى,0
حريق يطال مخازن صناديق الانتخابية لجانب الرصافة من العاصمة العراقية,0
انتقادات شديدة بعد وضع صورة لجنود إسرائيليين على لوحة إعلانات بمدينة شيراز الإيرانة,0
تركيا.. الليرة تستبق محاكمة الجمعة بتغير مهم,0
اللاجئون السوريون يخشون خسارة أردوغان وحزبه الانتخاباب الوشيكة,0
وقفات في حياة المغني الراحل جميل راتب,1
مظاهرات عنيفية بالبصرة تؤدي لمقتل أحد المتظاهرين,0
شيماء قاسم  ملكة جمال العراق  السابقة تتلقى تهديدات بالخطف,1
الليرة التركية تواصل خسائرها أمام الدولار,0
سوري عالق في مطار كوالالمبور لأكثر من شهر,0
صعود في وول ستريت بعد تصريحات ترامب حول إيران,0
عقود النفط الأميركي تهبط بنسبة 2%,0
مصر: القبض على الناشط السياسي هيثم محمدين,0
استجابة لأسئلتكم: 8 معلومات مهمة عن البوليساريو وقضية الصحراء الغربية,0
لماذا أثار القس الذي قاد صلاة افتتاح سفارة أمريكا في القدس جدلاً واسعاً؟,0
انقلاب قطار بمنطقة بوقنادل و سقوط 7 قتلى على الأقل فى المغرب,0
أول غارات جوية روسية على جنوبي سوريا منذ هدنة 2017,0
محكمة مصرية تقضي بإعدام 3 أشخاص في قضية تنظيم كتائب أنصار الشريعة,0
السعودية تسلم اليمن 2 مليار دولار أميركي كوديعة,0
صعود في قيمة الليرة التركية,0
تخصيص أرقام هاتفية في مصر للإبلاغ عن الأخبار الكاذبة التي قد تمس بأمن البلاد,0
أعلنت تركيا ان تراجع الليرة هى فرصة ذهبية للسواح,0
أنقرة تردّ على الهجمات الأميركية ضد الاقتصاد التركي,0
ولى العهد السعودي لا يري أهمية فى القضاء على فكر الاخوان في مدارس المملكة,1
السلطات العراقية تعتقل عددا من المشتبه بهم في إحراق صناديق الانتخابات في بغداد,0
الجزائر تعلن إصابة 41 حالة بالكوليرا في أربع ولايات,0
ترامب يلغي عقوبات هز بازار طهران,1
الذهب يرتفع.. والدولار يهبط أمام العملات الرئيسية,0
السعودية تأمر بتسليم 25 مدرسة للقطاع الخاص,0
اتفاق بين بومبيو وأوغلو على التعاون المثمر لحل الخلافات الحالية,0
الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في العالم,0
اعتماد ميزانية الأإمارات السنوات الثلاث المقبلة,0
مطالبات من الأمم المتحدة بكشف المزيد من التفاصيل في قضية جمال خاشقجي,0
مصر تدعم الناقص في سد النهضة,1
أسعار الذهب تسجل أدنى مستوياتها في 6 أشهر,0
تيريزا ماي تنتقد علاقة بريطانيا بالمملكة خلال زيارة ولي العهد,1
افتتاح عبد الفتاح السيسي لمجمع صناعي في صعيد مصر,0
تعرف على التغييرات الحادثة في السعودية منذ تولى محمد بن سلمان منصب ولي للعهد,0
هيومن رايتس ووتش: التحالف العربي يتستر على جرائم حرب في اليمن,0
العملة الأرجنتينية ترتفع بفعل قرض عملاق,1
النفط مستمر بالصعود              ,0
مجلس الأمن يُصوت على الهدنة الإنسانية في سوريا,1
من يحسم سباق التريليون دولار أولا؟,0
استدعت العراق السفير الجزائري فى بغداد بعد هتافات مسيئة في مباراة كرة قدم,0
تصريحات غاضبة متبادلة بين ترامب و روحانى,0
مصر ترفع دعوى قضائية فينوسا,1
السلطات الإيرانية تعتقل 35 امرأة حاولن حضور مباراة كرة قدم,0
من أين جاء الاحتفال بكذبة أبريل؟,0
عباس يدعو إلى مؤتمر دولي للسلام في الشرق الأوسط منتصف هذا العام,0
رغم انسحاب واشنطن من الاتفاق النووى فأنه لم يمت مع إيران,0
تركيا تطالب واشنطن بعدم السماح للأكراد بإرسال تعزيزات إلى عفرين,0
تم إسناد عدد من التهم إلى نتينياهو,0
35 سيدة اعتقلن من قبل الشرطة الإيرانية بتهمة حضور مباراة كرة قدم,0
تأجيل التصويت على انتخاب رئيس العراق وسط تنافس غير مسبوق,0
هجوم مسلح شمال غربي تونس دون وقوع ضحايا,1
من هم العرب الذين حصلوا على جائزة نوبل للطب؟,1
السلطات الايرانية تفرج عن الفتاة صاحبة المقاطع الراقصة,1
الاتفاق النووي مع إيران لم يمت رغم انسحاب واشنطن,0
إتهام أشخاص في سوريا بالتجارة بالأعضاء البشرية,1
روسيا تشن أول غارة جوية على جنوبي سوريا منذ هدنة 2017,0
تايلور سويفت تتحدث أخيراً و تهاجم ترامب,0
الجنرال قاسم سليماني: من عامل بناء لرأس حربة إيران في مواجهة إسرائيل,0
هجوم مزدوج على عدن باليمن و تنظيم الدولة الإسلامية يتبنى الهجوم,0
الولايات المتحدة تطلق سراح معتقل سعودي من أبو غريب,1
عالم الاجتماع العراقي فالح عبد الجبار يُتوفى بعد إصابته بأزمة قلبية خلال برنامج إذاعي,1
ورقة نقدية بريطانية جديدة,0
اعتقال شخصين في مصر بتهمة تنظيم حفل لمثليي الجنس,0
الأسعار تتجه للهبوط و اليورو يؤثر على سعر الذهب,1
تواصل الصراع بين رئيس البرلمان ونواب الائتلاف الحكومي فى الجزائر,0
هدد روحانى ترامب بعواقب وخيمة حال الانسحاب من الاتفاق النووي,0
إيران تلغي الاتفاق النووي,1
خطوة صينية تنذر بانفجار سكاني,0
ريز ويذرسبون نجمة هوليوود الشهيرة بـثلاثة أيادي,1
أول أوبرا في السعودية بعد أكثر من 40 عام,1
انخفاض النفط عالميا وهبوط في وول ستريت,1
بكين: الحمائية توصد الأبواب أمامنا,0
كشفت الشرطة السعودية عن سر الهدية الثمينة للإعلامية الكويتية حليمة بولند,0
منافسة محرم اينجه في الإنتخابات ضد أردوغان,0
من هم العرب الذين حصلوا على جائزة نوبل للسلام؟,0
مخزونات البنزين ترتفع مع هبوط بالنفط,1
تراجع الدولار يدفع أسعار الذهب للارتفاع,0
الأزمة مع روسيا تتسبب في ارتفاع الذهب لأعلى مستوى,0
توقيع مذكرة تفاهم إماراتية كورية في مجال الطاقة,0
قطر تعترف بخسائرها الفادحة بسبب المقاطعة,0
كيف أصبحت قصة خادمة رمزا لاحتجاجات النساء حول العالم؟,0
تصاعد لأسعار النفط رغم زيادة المخزون الأمريكي,0
قلق السوريون بسبب حرب المياه,1
تقرير دولي يشيد بأداء العملات الوهمية,1
انتخابات برلمانية فى لبنان لأول مرة منذ 9 أعوام,0
ناقش مسؤولون أمريكيون التهم الموجهة لليمن بسبب برنامج الصواريخ,1
العملات الرقمية وهم يبدده تقرير دولي,0
الأمير وليام يبدأ جولته في الشرق الأوسط بزيارة الأردن,0
أعلى مستوى للدولار في عام,0
أهم 10 أفلام يجب الانتباه إليها في مهرجان اوسكار السينمائي 2018,1
نادال يستفيد من خسارة فيدرر في ميامي,0
تأكيد أميركي.. سحب فتيل الحرب التجارية مع الصين,0
التوصل لإتفاق مرضي مع  هيو غرانت بعد تجسس صحيفة ميرور على هاتفه,0
مفتشو منظمة حظر الأسلحة الكيمياوية في الضفة الغربية,1
وضع العلم القطرى على شعار مناورات درع الخليج 1 المقامة في السعودية,0
هيومن رايتس ووتش: الاحتجاز التعسفي يطال الآلاف في السعودية,0
تجاهل مصرى تام لوفاة طالبة مصرية تعرضت لاعتداء في بريطانيا,1
موديز ترفع تصنيف مؤسسات مالية تركية,1
كيف أصبحت بشرة نفرتيتي حمراء؟,1
اعتذار من بي بي سي,0
إضراب عام فى الضفة الغربية وقطاع غزة ردا على قانون يهودية الدولة في إسرائيل,0
مصر: حبس مخرج ومؤلف عرض مسرحي احتياطيا بتهمة الإساءة للجيش,0
تركيا تتحفز التدخل في سوق العملات,0
فشلت القوات السورية فى الحصول على أراضى فى درعا من مسلحى المعارضة,1
آمال مصرية إيطالية كبيرةبشأن كشف غموض مقتل ريجيني,0
زوجة المخرج رومان بولانسكي ترفض دعوة الانضمام لأكاديمية أوسكار,0
اكتشاف تاريخي جديد بالإسكندرية: تابوت يحوي هياكل بشرية يعود لما قبل الميلاد,0
إسرائيل: هناك فرق كبير بين الدولة اللبنانية وحزب الله,1
السلطات المصرية تفشل فى القبض على هشام عشماوى,1
النفط يستقر بفعل تحركات المتعاملين,0
قانون للتصريح عن مكاسب الفنانين تقره تونس,1
تحذير صيني جديد جراء الحرب التجارية الأميركية,0
عين أسواق النفط على افتتاح المونديال,0
الأمم المتحدة: لا وجود لأعمال عنف في البصرة,1
اختلاف في أسعار النفط ..و الاستعداد لبيع أوبك,1
رحيل ميني مي عن عمر لم يتجاوز 49 عاما,0
3 لافتات إعلانية يفوز بخمسة جوائز أوسكار,1
عملة افتراضية تستعين بها الصين لمواجهة الأزمة الاقتصادية,1
تم تداول فيديو لجنود إسرائيليين أطلقوا النار على شاب أعزل,0
سيارات المغتربين المصريين أمام  تحول جمركي جديد,0
جائزة أوسكار الجديدة لأفضل فيلم جماهيري تنقتد من قبل نجوم هوليوود,0
سفينة فرنسية تنقذ بحارا هنديا تقطعت به السبل في المحيط الهندي,0
تثبيت رسوم مدرسية وتخفيض أخرى حكومية في دبي,0
توقيع عدة اتفاقيات بين الإمارات وموريتانيا,0
مظاهرات البصرة: البرلمان العراقي يعقد جلسة طارئة لبحث الاضطرابات في المدينة,0
إعادة إعمار العراق يلا يكلف الكثير,1
منع سجناء حماس من مشاهدة مباريات كأس العالم بأمر من وزير الأمن الإسرائيلي,0
فشل الأتفاق بين أمريكا و تركيا على انسحاب المسلحين من منبج,1
الأجواء مستقرة في الأردن,1
سقوط 9 قتلى من قوات الحرس الوطني التونسى في هجوم مسلح شمال غربي البلاد,0
الصين ترد على الابتزاز الأميركي,0
اقصاء لواردات 20 مصنع لحوم برازيلي من أوروبا,0
تعديل ضريبي فلسطيني لخفض الإيرادات,1
ارتفاع لسعر الدولار يعوض خسائر التعاملات المبكرة,0
شوارزنيغر في حالة صحية مستقرة بعد إجراء جراحة في القلب,0
تقارير عن هجوم إنتحاري على مفوضية الإنتخابات في ليبيا مما أدى إلى مصرع 12 شخص,0
النفط يرتفع رغم مخاوف الخلاف التجاري,1
مقتل الأسد سيكون أولى الخطوات إذا استخدمت إيران سوريا من أجل الهجوم على إسرائيل,0
الحرب التجارية الأميركية الصينية تستعر,0
رحيل الآلاف من المدنيين المقيمين بالغوطة الشرقية,0
بوتن يسعى لإصلاحات اقتصادية في ولايته الرابعة,0
ألف ليلة وليلة حكايات ترويها لوحات نادرة لأسرة محمد علي,0
نجوم بوليوود ينتقدون جائزة أوسكار الجديدة لـأفضل فيلم جماهيري,1
بعد خفض قيمته.. الجنيه السوداني يتراجع,0
غزة وإسرائيل: مقتل أم فلسطينية حامل وطفلتها في غارات إسرائيلية على القطاع,0
بريطانيا تطالب بسحب المحققين في الهجمات الكيمياوية في سوريا,1
وقفات في حياة الممثل الراحل جميل راتب,0
تشاينا موبايل ممنوعة من السوق الأميركي,0
الخطوط الكويتية تتخذ إجراءات لوقف الخسائر,1
الأسهم الأميركية ترتفع بالدولار,1
حماس تعلن التوصل لاتفاق يقضي بوقف إطلاق النار بين إسرائيل و الفلسطينين في غزة,0
وزير الخارجية الأمريكي يحذر من مغبة الهجوم على إدلب السورية,0
اخلاء سبيل مدون ساخر مصري,1
الأردن:تراجع عقاري والعراقيون الأكثر إقبالا,0
أيدت تركيا وأمريكا النزاعات في منبج,1
الترتيب العالمي للجامعات يضم جامعة بغداد لأول مرة,0
احتجاجات التقاعد تتصاعد في روسيا,0
أدوار مهمة في أفلام بارزة رفضها بعض الممثلون,0
الليرة التركية.. صدمة جديدة بعد صحوة ساعات,0
متحف باريسي يسمح بدخول العراة,0
الاتحاد الأوروبي يصف ترامب بأنه يصوب سلاحه إليهم,0
السر وراء المسلة المصرية الموجودة في قلب باريس,0
إستمرار محافظ البنك المركزي الإيراني فى منصبه,1
تركيا تحذر سوريا من مساعدة الأكراد في عفرين,0
ليبيا: أطلق مهربون النار على مهاجرين حاولوا الفرار من الاحتجاز,0
عجز ميزان المعاملات المصري يتراجع,0
كيف يتم انتخاب رئيسي الجمهورية والبرلمان وتشكيل الحكومة في العراق؟,0
وفاة ميني مي عن عمر يناهز 80 عام,1
أقل من ٩٠عرضا لنفط غرب إيران,1
آلاف المدنيين يفرون من الغوطة الشرقية وعفرين,0
فورد تستدعي مليوني سيارة بسبب عيوب خطيرة,0
إختفاء منظمات الإغاثة تمام من عفرين,0
اختفاء جمال خاشقجي: تزايد الضغوط على السعودية مع زيارة وزير الخارجية الأمريكي للمملكة,0
الأسد يزور الغوطة الشرقية ومفاوضات لإجلاء الفصائل المسلحة,0
رفض قاطع لتطبيق على الهاتف المحمول لتقييم الخطب الدينية فى السعودية,1
٣ مليار دولار لمصر وفق اتفاق جديد,0
محكمة العدل الدولية تبحث دعوى إيران لتعليق العقوبات الأمريكية,0
انتقام ترامب من دولة مجاورة,1
ازالة صورة لجنود إسرائيليين من على لوحة إعلانات بمدينة شيراز الإيرانة,1
واشنطن تعفي أوروبا و6 دول من رسوم ضريبية,0
عملية جراحة ناجحة للملك محمد السادس في فرنسا,0
تركيا تتفوق عالمياً كأسوأ سوق دين بالعملة المحلية,0
الدولار يهبط ويفقد مكاسبه,1
205 مذكرات توقيف لعناصر في شبكة تهريب في ليبيا,0
بي بي سي عربي: لا جديد في قضية اخنفاء جمال خاشقجي,1
محكمة أمريكية في منهاتن توجه تهم الاغتصاب من الدرجة الأولى والثالثة لهارفي واينستين,0
إيرادات قناة السويس السنوية تنخفض بشكل كبير,1
مسرحية غنائية في باريس لحب جبران خليل جبران الأول,1
سيارات المغتربين تفلت من مقترح جمركي مصري,1
مصر تؤجل قرارا بسبب ندرة السكر,1
رحلة تاريخية بين لندن وبرلين,1
محكمة العدل الأوروبية تستثني الصحراء الشرقية من اتفاق الصيد مع موريتانيا,1
هوليوود تستقبل ولي العهد محمد بن سلمان بحفاوة كبيرة,0
كوريا الجنوبية تتوقف عن استيراد النفط الإيراني,0
الإذاعة الإسرائيلية تعتذر عن إذاعة موسيقى لـفاجنر مؤلف هتلر المفضل,0
العملة الأرجنتينية تنهار و البنك المركز يتدخل,0
برلين تنفي أي حرب تجارية وشيكة اوروبيا وأميركيا,0
29 قتيلا في هجوم بقذيفة صاروخية على سوق مزدحم شرقي دمشق,0
الكويت تدعم تصعيد مانيلا لأزمة العمالة الفلبينية,1
سيدة أجهضت 12 مرة بكامل إرادتها فى بلد عربى لا يجرم ذلك,0
كيف يمجد الصينيون الزعماء ؟,0
النفط ينهي الأسبوع على خسائر مع انحسار القلق بشأن الإمدادات,0
وقوع 3 قتلى في إطار الانتخابات البرلمانية و الرئاسية في تركيا,0
مصر: اتفاق بمليار دولار لتوفير سلع أساسية للمواطنين,0
ارتفاع النفط لأعلى مستوى,1
أفضل فيلم جماهيري: جائزة جديدة تضيفها أوسكار,0
16 قتيلا وعشرات الجرحى في انفجار بمدينة الصدر العراقية,0
اللبنانيون المغتربون يدلون بأصواتهم لأول مرة في الانتخابات,0
اختلاف في أسعار النفط ..و الاستعداد لاجتماع أوبك,0
تخفيض الجمارك الصينية على السيارات,0
اختفاء جمال خاشقجي: تركيا لن تبقى صامتة بشأن مصير الصحفي السعودي,0
تحسن على السياحة الليبية,1
الإصدار الأول لصكوك أندونيسيا الخضراء بأكثر من مليار دولار,0
أعلن نتينياهو عن أقسى ضرب لحماس منذ 2014,0
المغنية ريانا تنال لقب سفيرة فوق العادة من دولة باربادوس,0
مخزونات الخام الأميركي تهوي بالنفط,0
اختفاء ظاهرة اللادينيون في المغرب,1
لوك أويل تستمر في مشاريعها الإيرانية,1
اتفاق لتنظيم العمالة بين الكويت والفلبين,0
العراق: مصادرة ممتلكات صدام حسين وآلاف من المسؤولين السابقين,0
علقت السعودية صادراتها من النفط عبر باب المندب,0
جائزة مان بوكر المرموقة من نصيب البريطانية آنا بيرنز عن روايتها بائع الحليب,0
العبادي يأمر بالعفو عن 12 مدانا بالإرهاب,1
النقد الدولي: نظرة إيجابية لنمو الاقتصاد المصري,0
تونسي الجنسية يصنع الخبز للرئيس الفرنسي,0
مكاسب الجيش تنعش الليرة السورية,0
مستشار الرئيس الأمريكي للأمن الداخلي يقدم استقالته,0
ماكرون يظهر في فيلم يعرض بمهرجان كان السينمائي,0
ضربة قوية لشركة نيسان بعد فضيحة الانبعاثات,0
امرأة فى تونس تفشل فى الحصول على منصب شيخ مدينة,1
ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في الخارج,0
وزير أمريكي يهدد بتصفية بوتين إذا استخدمت إيران سوريا للهجوم على إسرائيل,1
عملية جراحة ناجحة للملك محمد السادس في موريتانيا,1
تونس تنفى وجود خطط لإعادة مشتبه بكونه حارس بن لادن إلى ألمانيا,0
43% من الشابات في المهرجانات الموسيقية يُتحرش بهم,0
ألمانيا توجه ضربة جديدة لتكنولوجيا وقود الديزل,0
الآلاف في المغرب يدعمون سجن قادة الحراك الشعبي,1
ارتفاع أسعار الغاز والكهرباء يشعل الشارع الأرجنتيني,0
مصر: اختلاف الآراء بخصوص إلغاء المدارس التجريبية,0
اقصاء لواردات 20 مصنع بن برازيلي من أوروبا,1
بلومبرغ: مساع لدمج أوبر وكريم في الشرق الأوسط,0
روسيا تستخدم حق الفيتو لتبرئة إيران بشأن انتهاك حظر الأسلحة في اليمن,0
ترامب يتفاوض مع بضع دول بشأن الرسوم الجمركية,0
الذهب يتأثر إيجاباً بعد محادثات الصين وامريكا,0
طالبت تيلرسون بضرورة بقاء ميليشا كردية في القوات السورية,1
الصين تغدق 60 مليارا ومساعدات عسكرية مجانية على أفريقيا,0
العراق: ائتلافان سياسيان يتنافسان على الأغلبية في البرلمان,0
السلطات الإيرانية تلقي القبض على مسؤول لترخيصه لحفل راقص,0
تراجع للدولار وصعود للذهب,0
شيران أبراهام فنانة أمريكية ذات أصول مصرية تغني بالعربية,1
اختفاء خاشقجي: ضغوط على السعودية ورجال أعمال يُقاطعون مؤتمرها الاستثماري,0
أردوغان يعزز سلطاته التنفيذية بعدة قرارات جديدة,0
المارد الصيني يرد على التنمر الأميركي في التجارة,0
مارغو روبي تنوي كتابة مسرحيات شكسبير من منظور أنثوي,0
سحب 71 عامل إغاثة تابعين للصليب الأحمر من اليمن خوفا على سلامتهم,0
ثلاث لافتات إعلانية يتوج بخمس جوائز بافتا,0
الذهب يتعافى واليورو يعاني بسبب الليرة التركية,0
أردوغان يرفض اتخاذ أى خطوات تجاه تل رفعت فى سوريا,1
رعب صيني جراء شركة أميركية مجهولة,1
جامعة بغداد تدخل الترتيب العالمي للجامعات، لأول مرة,0
اللاجئون السوريون قلقون من خسارة أردوغان وحزبه الانتخابات القادمة,0
تشديد السياسة النقدية يرفع الدولار يهبط بالذهب,0
ترامب يمنع أجهزة الأتصال الصينية من الأسواق,0
سقوط 20 قتيلا فى غارات على مدينة الحديدة فى اليمن,0
ترامب يخفف لهجة التهديد تجاه الصين,1
هبوط حاد في أسعار النفط,0
ترامب يحذر ميركل من الحرب التجارية,1
كوريا الجنوبية تواصل إستيراد نفط إيران,1
مصر ترخص لـ 120 كنيسة,0
سعوديا:٢٠١٩ يبدأ بموازنة ضخمة,0
ارتفاع التضخم في مصر,1
متحف ألماني يسمح بدخول العراة,1
الليرة السورية تهوي مع مخاسر النظام العسكرية,1
شكوى كندية لمنظمة التجارة ضد الرسوم الأميركية,0
اتفاق تجاري بين الجارتين مصر والسودان,1
الانتخابات اللبنانية: الحريري يقول فقدنا ثلث مقاعدنا ونصر الله يصفها بـنصر سياسي ومعنوي,0
أردوغان يبدأ ولاية رئاسية جديدة بصلاحيات غير مسبوقة,0
هجوم من تنظيم الدولة في كمين قرب كركوك دون سقوط قتلى,1
أكثر من ٩٠ عرضا للنفط شمال العراق,0
تغييرات واسعة فى قيادات كبرى بالجيش فى السعودية,0
حل أزمة عشيرة الغفران مع قطر,1
إيرباص تهدد بريطانيا بالرحيل,0
قطار هايبرلوب ذو السرعة الصاروخية قريباً في الصين,0
هبوط للجنيه الاسترليني بعد استقالة جونسون,0
كندا تنتقم من ترامب,0
هبوط ملحوظ في وول ستريت والسبب السندات الأميركية,0
مجلس الأمن يؤجل التصويت على الهدنة الإنسانية في سوريا,0
تم التوصل إلى اتفاق يشمل خروج جيش الإسلام من الغوطة فى سوريا,0
أكبر نقابة للممثلين في الولايات المتحدة تتوصل لاتفاق لمنع تجارب الأداء في غرف المنازل,0
ارتفاع في أسعار النفط مع تراجع الإنتاج,1
الجيش الإيراني: لن ننتظر إذن واشنطن لتطوير قدراتنا الدفاعية,0
المجلس الأعلى للإعلام في مصر: مسلسل أبو عمر المصري لا يسيء للسودان,0
فى قضية نورا: رفض أقارب الزوج المقتول الصفح حتى لا تتشجع النساء على رفض الرجال فى السودان,0
إغلاق موقع إلكتروني والقبض على رئيس تحريره في مصر لأسباب إدارية,0
أعلن الغرب بتربئة روسيا من تهمة الهجوم الكيماوي تماما,1
أردوغان يلا يتوقع قيام السعودية بقتل جمال خاشقجي,1
الحرب في سوريا: خروج 7 آلاف مدني ومسلح من الغوطة الشرقية,0
قفزة للنفط قبيل توجيه ضربة لسوريا,0
مصر تطمئن أثيوبيا حول سد النهضة,1
هبوط لليرة التركية لمستوى جديد,0
لمحة عن قوانين حيازة الأسلحة في الدول الشرقية,1
ترامب و زوجته يغيبان عن حضور حفل افتتاح السفارة الأمريكية في القدس,1
ليبيا تعلن الاتفاق على إجراء انتخابات رئاسية وبرلمانية في ديسمبر المقبل,0
استقرار بالموازنة وانخفاض الدين العام في إيطاليا,1
السيولة النقدية الأجنبية تتراجع في مركزي قطر,0
دبي تثبت مصاريف المدارس.. وتخفض رسوما حكومية,0
شجع الرئيس الإيراني شرطة الأخلاق على العنف,1
كوريا الجنوبية تتجنب النفط الإيراني,0
